# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 250, i.e. number of multipoles equal to 249
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
   39       1.627975183951e-10       7.030763306763e-15       2.437558228223e-13       0.000000000000e+00       4.198166993493e-19       2.711573470653e-20       3.919424675246e-19       2.283733743098e-16      -2.037699367386e-17       2.487503679836e-16       9.476698863901e-18       8.842815798198e-18       6.410365677934e-19       2.427962964447e-14       1.098266399184e-15       7.009881886496e-15       1.927461326297e-17       3.097903222663e-16 
   40       1.652488537129e-10       7.658068355324e-15       2.358519727032e-13       0.000000000000e+00       3.724278613959e-19       2.558948634806e-20       3.462628607980e-19       1.911077579051e-16      -3.742534090441e-17       2.285330988095e-16       9.681015101819e-18       9.070487214334e-18       6.184122405680e-19       2.627480978304e-14       1.173177952761e-15       7.633564189874e-15       2.019749983642e-17       3.378569338534e-16 
   41       1.677238430588e-10       8.318579911005e-15       2.266927222449e-13       0.000000000000e+00       3.310523178918e-19       2.418223581566e-20       3.064444141261e-19       1.573320261200e-16      -5.402057443773e-17       2.113526005577e-16       9.830103561775e-18       9.298941976340e-18       5.382820456677e-19       2.835909081668e-14       1.260089798004e-15       8.292351283677e-15       2.115720627261e-17       3.675129373862e-16 
   42       1.702234392090e-10       9.013700787790e-15       2.159029140542e-13       0.000000000000e+00       2.948995286315e-19       2.288332946497e-20       2.717085226147e-19       1.262807299481e-16      -7.021501972724e-17       1.964957496753e-16       9.943667774426e-18       9.528049553989e-18       4.208059183124e-19       3.053733953543e-14       1.354924251044e-15       8.986838676353e-15       2.208311704012e-17       3.988306276910e-16 
   43       1.727467884563e-10       9.746707226612e-15       2.036045316251e-13       0.000000000000e+00       2.632849671103e-19       2.168315004022e-20       2.413843580646e-19       9.734725125366e-17      -8.605392873693e-17       1.834011799906e-16       1.004985960034e-17       9.757693472856e-18       2.939317604216e-19       3.282021374109e-14       1.447433292590e-15       9.717617760599e-15       2.295900852307e-17       4.318474988655e-16 
   44       1.752929618494e-10       1.051705389539e-14       1.901322556493e-13       0.000000000000e+00       2.356087441194e-19       2.057300937986e-20       2.148855077789e-19       7.002957109625e-17      -1.015733794463e-16       1.716029505426e-16       1.017322015743e-17       9.987758177641e-18       1.836970876728e-19       3.520197346918e-14       1.543833869407e-15       1.048531370224e-14       2.386614651700e-17       4.665405604391e-16 
   45       1.778628089342e-10       1.132308136972e-14       1.752832767219e-13       0.000000000000e+00       2.113426996701e-19       1.954505292970e-20       1.916970196331e-19       4.405394523939e-17      -1.168047217134e-16       1.608586669528e-16       1.032882643584e-17       1.021810998774e-17       1.069812886115e-19       3.767546744553e-14       1.652136241115e-15       1.129053723173e-14       2.491471323406e-17       5.028677581242e-16 
   46       1.804567041361e-10       1.216651484140e-14       1.587010810403e-13       0.000000000000e+00       1.900252259045e-19       1.859217538663e-20       1.713678813196e-19       1.899921200861e-17      -1.317764247318e-16       1.507756367404e-16       1.052162517710e-17       1.044858717922e-17       6.835059153086e-20       4.024643059732e-14       1.767077550123e-15       1.213381633157e-14       2.617335778436e-17       5.408096650252e-16 
   47       1.830747026083e-10       1.304980388013e-14       1.403905563172e-13       0.000000000000e+00       1.712539898216e-19       1.770794360192e-20       1.535055658377e-19      -5.139706270781e-18      -1.465125490653e-16       1.413728427945e-16       1.074550295596e-17       1.067900412010e-17       6.112849093980e-20       4.292055130607e-14       1.882721056127e-15       1.301556947849e-14       2.766892274934e-17       5.803684262951e-16 
   48       1.857167212590e-10       1.397281448004e-14       1.204772867504e-13       0.000000000000e+00       1.546807759241e-19       1.688652922702e-20       1.377711088580e-19      -2.841632630271e-17      -1.610332543259e-16       1.326169280232e-16       1.098612602205e-17       1.090916454905e-17       7.167566307300e-20       4.569533833085e-14       2.001446452715e-15       1.393610980039e-14       2.939744190479e-17       6.215609518503e-16 
   49       1.883829951028e-10       1.493404102873e-14       9.893185843155e-14       0.000000000000e+00       1.400085503003e-19       1.612264660264e-20       1.238744226528e-19      -5.105857788310e-17      -1.753553403834e-16       1.242967625003e-16       1.122829646698e-17       1.113887408350e-17       8.508976682150e-20       4.856583536830e-14       2.128297501496e-15       1.489565837656e-14       3.131579558496e-17       6.644248374290e-16 
